Candidaturas,Votos,Dip.
PP,60293,"28,62%"
PSOE,59277,"28,14%"
Cs,43623,"20,71%"
VOX,26765,"12,71%"
Podemos,16465,"7,82%"
PACMA,1319,"0,63%"
PREPAL,301,"0,14%"
PUM+J,297,"0,14%"
RECORTES CERO,252,"0,12%"
ELAK/PCTE,209,"0,10%"
