Candidaturas,Votos,Dip.
PSOE,123267,"31,13%"
PP,87001,"21,97%"
Cs,69504,"17,55%"
VOX,66807,"16,87%"
Podemos,41772,"10,55%"
PACMA,3906,"0,99%"
RECORTES CERO,697,"0,18%"
PUM+J,551,"0,14%"
