Candidaturas,Votos,Dip.
PSOE,74767,"31,98%"
PP,51739,"22,13%"
Cs,43716,"18,70%"
VOX,33891,"14,50%"
Podemos,24730,"10,58%"
PACMA,2196,"0,94%"
RECORTES CERO,322,"0,14%"
PUM+J,301,"0,13%"
PCPE,224,"0,10%"
ELAK/PCTE,182,"0,08%"
