Candidaturas,Votos,Dip.
PSOE,25500,"32,74%"
PP,18521,"23,78%"
Cs,15378,"19,74%"
VOX,8305,"10,66%"
Podemos,8236,"10,57%"
PACMA,448,"0,58%"
EB,271,"0,35%"
RECORTES CERO,109,"0,14%"
PCPE,89,"0,11%"
PUM+J,73,"0,09%"
PYLN,65,"0,08%"
+MAS+,46,"0,06%"
UDT,28,"0,04%"
