Candidaturas,Votos,Dip.
PSOE,33058,"31,32%"
PP,31229,"29,59%"
Cs,16751,"15,87%"
VOX,12370,"11,72%"
Podemos,9705,"9,19%"
PACMA,789,"0,75%"
RECORTES CERO,260,"0,25%"
PUM+J,155,"0,15%"
ELAK/PCTE,131,"0,12%"
FE de las JONS,97,"0,09%"
