Candidaturas,Votos,Dip.
PSOE,98268,"30,09%"
PP,73574,"22,53%"
VOX,62529,"19,15%"
Cs,55972,"17,14%"
Podemos,28767,"8,81%"
PACMA,3407,"1,04%"
EB,650,"0,20%"
RECORTES CERO,399,"0,12%"
PCPA,345,"0,11%"
PUM+J,325,"0,10%"
