Candidaturas,Votos,Dip.
PSOE,140839,"27,35%"
CC,102421,"19,89%"
PP,76275,"14,81%"
Podemos,75492,"14,66%"
Cs,71431,"13,87%"
VOX,31307,"6,08%"
PACMA,9131,"1,77%"
AHORA CANARIAS,1770,"0,34%"
RECORTES CERO,1195,"0,23%"
PCPC,653,"0,13%"
PUM+J,575,"0,11%"
F8,566,"0,11%"
