Candidaturas,Votos,Dip.
PSOE,211587,"31,41%"
PP,171783,"25,50%"
Podemos,99621,"14,79%"
Cs,81261,"12,06%"
BNG,44901,"6,67%"
VOX,37950,"5,63%"
PACMA,6994,"1,04%"
EN MAREA,6745,"1,00%"
PCOE,1808,"0,27%"
RECORTES CERO,1300,"0,19%"
CxG,1232,"0,18%"
PCTG,589,"0,09%"
