Candidaturas,Votos,Dip.
PSOE,1024453,"27,28%"
Cs,786025,"20,93%"
PP,699904,"18,64%"
Podemos,609802,"16,24%"
VOX,520417,"13,86%"
PACMA,50546,"1,35%"
PACT,19471,"0,52%"
RECORTES CERO,7379,"0,20%"
PUM+J,5148,"0,14%"
PH,3413,"0,09%"
ELAK/PCTE,2323,"0,06%"
PCPE,2011,"0,05%"
