Candidaturas,Votos,Dip.
PSOE,393213,"27,10%"
PP,255257,"17,59%"
Cs,253461,"17,47%"
Podemos,210528,"14,51%"
VOX,169495,"11,68%"
COMPROMÍS,125250,"8,63%"
PACMA,20816,"1,43%"
UIG-SOM-CUIDES,4433,"0,31%"
AVANT,3519,"0,24%"
ERPV,2141,"0,15%"
RECORTES CERO,2095,"0,14%"
PCPE,1527,"0,11%"
