Candidaturas,Votos,Dip.
PSOE,13766,"36,33%"
VOX,9079,"23,96%"
PP,8123,"21,44%"
Cs,4530,"11,96%"
Podemos,1822,"4,81%"
RECORTES CERO,155,"0,41%"
PUM+J,87,"0,23%"
