Candidaturas,Votos,Dip.
PSOE,209535,"31,50%"
Cs,131149,"19,71%"
Podemos,110236,"16,57%"
PP,99142,"14,90%"
VOX,87123,"13,10%"
PACMA,11023,"1,66%"
AxSI,4260,"0,64%"
PCOE,2215,"0,33%"
RECORTES CERO,1604,"0,24%"
PCPA,806,"0,12%"
