Candidaturas,Votos,Dip.
PSOE,136358,"26,34%"
Podemos,92241,"17,82%"
Cs,90214,"17,43%"
PP,87143,"16,84%"
VOX,58382,"11,28%"
ARA-MES-ESQUERRA,25384,"4,90%"
EL PI,11671,"2,25%"
PACMA,8811,"1,70%"
RECORTES CERO,1259,"0,24%"
PACT,792,"0,15%"
PUM+J,682,"0,13%"
