Candidaturas,Votos,Dip.
ERC,75288,"33,57%"
JxCAT,46499,"20,73%"
PSOE,37415,"16,68%"
Cs,19022,"8,48%"
Podemos,18603,"8,29%"
PP,11103,"4,95%"
FRON REPUBLICA,6156,"2,74%"
VOX,5971,"2,66%"
PACMA,2066,"0,92%"
PCPC,205,"0,09%"
RECORTES CERO,199,"0,09%"
IZQP,137,"0,06%"
PUM+J,136,"0,06%"
