Candidaturas,Votos,Dip.
ERC,113472,"27,24%"
PSOE,89347,"21,45%"
Cs,52154,"12,52%"
JxCAT,51021,"12,25%"
Podemos,50797,"12,19%"
PP,21283,"5,11%"
VOX,20032,"4,81%"
FRON REPUBLICA,8173,"1,96%"
PACMA,6169,"1,48%"
PCTC,469,"0,11%"
RECORTES CERO,458,"0,11%"
PUM+J,277,"0,07%"
CNV,262,"0,06%"
PCPC,257,"0,06%"
IZQP,190,"0,05%"
