Candidaturas,Votos,Dip.
PSOE,152508,"39,50%"
PP,75668,"19,60%"
Cs,61340,"15,89%"
VOX,46856,"12,14%"
Podemos,40682,"10,54%"
PACMA,3360,"0,87%"
CILU-LINARES,1079,"0,28%"
AxSI,648,"0,17%"
PCPA,434,"0,11%"
RECORTES CERO,390,"0,10%"
PUM+J,322,"0,08%"
RISA,188,"0,05%"
