Candidaturas,Votos,Dip.,Dip..1
PNV,119106,"29,09%",2
EH Bildu,95901,"23,42%",2
PSOE,77128,"18,84%",1
Podemos,70671,"17,26%",1
PP,20613,"5,03%",0
Cs,11723,"2,86%",0
VOX,6683,"1,63%",0
PACMA,3145,"0,77%",0
EB,667,"0,16%",0
RECORTES CERO,564,"0,14%",0
PUM+J,421,"0,10%",0
ELAK/PCTE,382,"0,09%",0
