Candidaturas,Votos,Dip.
PP,8082,"23,91%"
PSOE,7005,"20,72%"
CpM,6890,"20,38%"
VOX,5697,"16,85%"
Cs,4352,"12,87%"
Podemos,1290,"3,82%"
PUM+J,155,"0,46%"
RECORTES CERO,99,"0,29%"
