Candidaturas,Votos,Dip.
NA+,107124,"29,32%"
PSOE,94094,"25,75%"
Podemos,68168,"18,66%"
EH Bildu,46640,"12,77%"
GBAI,22150,"6,06%"
VOX,17660,"4,83%"
PACMA,3289,"0,90%"
RECORTES CERO,1284,"0,35%"
PUM+J,1187,"0,32%"
