Candidaturas,Votos,Dip.
PSOE,162568,"34,42%"
PP,89045,"18,85%"
Cs,79753,"16,88%"
Podemos,69737,"14,76%"
VOX,56770,"12,02%"
PACMA,4931,"1,04%"
PCOE,1229,"0,26%"
RECORTES CERO,897,"0,19%"
PCPA,811,"0,17%"
EB,777,"0,16%"
PUM+J,547,"0,12%"
ELAK/PCTE,506,"0,11%"
