Candidaturas,Votos,Dip.
PSOE,205916,"33,13%"
PP,111341,"17,91%"
Podemos,106630,"17,15%"
Cs,103864,"16,71%"
VOX,71454,"11,49%"
PACMA,6554,"1,05%"
PACT,4527,"0,73%"
ELAK/PCTE,1333,"0,21%"
RECORTES CERO,1097,"0,18%"
ANDECHA ASTUR,909,"0,15%"
PUM+J,755,"0,12%"
PH,465,"0,07%"
