Candidaturas,Votos,Dip.
PSOE,42579,"35,68%"
PP,31971,"26,79%"
VOX,16734,"14,02%"
Cs,16441,"13,78%"
Podemos,9439,"7,91%"
PACMA,770,"0,65%"
RECORTES CERO,135,"0,11%"
PUM+J,105,"0,09%"
ELAK/PCTE,82,"0,07%"
P-LIB,55,"0,05%"
