Candidaturas,Votos,Dip.
PSOE,41073,"32,96%"
PP,25080,"20,13%"
Cs,24449,"19,62%"
Podemos,17004,"13,65%"
VOX,13309,"10,68%"
PACMA,1004,"0,81%"
EB,470,"0,38%"
RECORTES CERO,265,"0,21%"
PCPE,208,"0,17%"
PUM+J,169,"0,14%"
FIA,153,"0,12%"
PYLN,148,"0,12%"
