Candidaturas,Votos,Dip.
PSOE,96808,"28,89%"
PP,78218,"23,34%"
Cs,67461,"20,13%"
VOX,45794,"13,67%"
Podemos,38993,"11,64%"
PACMA,2675,"0,80%"
RECORTES CERO,541,"0,16%"
UNIÓN REGIONALISTA,483,"0,14%"
PUM+J,469,"0,14%"
PCPE,312,"0,09%"
ELAK/PCTE,282,"0,08%"
FE de las JONS,228,"0,07%"
