Candidaturas,Votos,Dip.
PSOE,90144,"25,19%"
PP,77668,"21,71%"
Cs,54161,"15,14%"
PRC,52197,"14,59%"
VOX,39945,"11,16%"
Podemos,36555,"10,22%"
PACMA,3026,"0,85%"
EB,426,"0,12%"
RECORTES CERO,322,"0,09%"
PCPE,284,"0,08%"
PUM+J,269,"0,08%"
ELAK/PCTE,259,"0,07%"
P-LIB,230,"0,06%"
