Candidaturas,Votos,Dip.
PSOE,184622,"32,29%"
PP,142941,"25,00%"
Podemos,99996,"17,49%"
Cs,63333,"11,08%"
BNG,31859,"5,57%"
VOX,27082,"4,74%"
PACMA,6718,"1,18%"
EN MAREA,6641,"1,16%"
RECORTES CERO,987,"0,17%"
EB,865,"0,15%"
CxG,796,"0,14%"
PCTG,585,"0,10%"
