Candidaturas,Votos,Dip.
PSOE,16463,"31,73%"
PP,13833,"26,66%"
Cs,8475,"16,33%"
VOX,4848,"9,34%"
Podemos,4459,"8,59%"
PPSO,2656,"5,12%"
PACMA,258,"0,50%"
RECORTES CERO,101,"0,19%"
ELAK/PCTE,81,"0,16%"
PUM+J,76,"0,15%"
