Candidaturas,Votos,Dip.
PSOE,258592,"28,27%"
PP,178740,"19,54%"
Cs,177231,"19,37%"
Podemos,127091,"13,89%"
VOX,115011,"12,57%"
COMPROMÍS,30884,"3,38%"
PACMA,12901,"1,41%"
AVANT,3153,"0,34%"
RECORTES CERO,1510,"0,17%"
PCPE,1338,"0,15%"
ERPV,1210,"0,13%"
P-LIB,965,"0,11%"
