Candidaturas,Votos,Dip.
PSOE,97557,"36,96%"
PP,44929,"17,02%"
Cs,44698,"16,93%"
Podemos,34233,"12,97%"
VOX,33904,"12,85%"
PACMA,3155,"1,20%"
PCOE,873,"0,33%"
AxSI,852,"0,32%"
RECORTES CERO,576,"0,22%"
PCPA,270,"0,10%"
