Candidaturas,Votos,Dip.
PP,66121,"34,81%"
PSOE,62657,"32,99%"
Cs,20430,"10,76%"
Podemos,17002,"8,95%"
VOX,9708,"5,11%"
BNG,7451,"3,92%"
EN MAREA,2188,"1,15%"
PACMA,1482,"0,78%"
VOU,303,"0,16%"
CxG,282,"0,15%"
PUM+J,197,"0,10%"
RECORTES CERO,187,"0,10%"
PCTG,136,"0,07%"
