Candidaturas,Votos,Dip.
PSOE,94834,"32,75%"
PP,68138,"23,53%"
Cs,50612,"17,48%"
Podemos,34794,"12,02%"
VOX,33449,"11,55%"
PACMA,2293,"0,79%"
PREPAL,1441,"0,50%"
PUM+J,410,"0,14%"
ELAK/PCTE,392,"0,14%"
RECORTES CERO,287,"0,10%"
