Candidaturas,Votos,Dip.
PSOE,100524,"34,27%"
PP,69504,"23,69%"
Cs,50624,"17,26%"
VOX,40256,"13,72%"
Podemos,26830,"9,15%"
PACMA,2346,"0,80%"
RECORTES CERO,521,"0,18%"
PDSJE-UDEC,276,"0,09%"
