Candidaturas,Votos,Dip.
PSOE,63955,"29,27%"
PP,53726,"24,59%"
Cs,43316,"19,83%"
Podemos,27262,"12,48%"
VOX,24267,"11,11%"
PACMA,1967,"0,90%"
RECORTES CERO,706,"0,32%"
PUM+J,585,"0,27%"
ELAK/PCTE,428,"0,20%"
