Candidaturas,Votos,Dip.
PSOE,34357,"31,28%"
PP,32511,"29,60%"
Cs,18625,"16,96%"
VOX,12809,"11,66%"
Podemos,9115,"8,30%"
PACMA,558,"0,51%"
PREPAL,393,"0,36%"
RECORTES CERO,141,"0,13%"
PUM+J,137,"0,12%"
ELAK/PCTE,113,"0,10%"
