Candidaturas,Votos,Dip.
PSOE,766419,"24,66%"
ERC,713049,"22,95%"
Podemos,508428,"16,36%"
Cs,372094,"11,97%"
JxCAT,314685,"10,13%"
PP,155504,"5,00%"
VOX,111810,"3,60%"
FRON REPUBLICA,84408,"2,72%"
PACMA,50393,"1,62%"
RECORTES CERO,5552,"0,18%"
PCPC,2531,"0,08%"
IZQP,2108,"0,07%"
PCTC,1950,"0,06%"
CNV,1589,"0,05%"
