Candidaturas,Votos,Dip.
PSOE,154064,"28,32%"
Podemos,90977,"16,72%"
PP,88197,"16,21%"
Cs,83832,"15,41%"
VOX,38091,"7,00%"
NCa,36193,"6,65%"
CC,34775,"6,39%"
PACMA,8642,"1,59%"
RECORTES CERO,1452,"0,27%"
AHORA CANARIAS,1257,"0,23%"
PCPC,839,"0,15%"
PUM+J,832,"0,15%"
PH,557,"0,10%"
