Candidaturas,Votos,Dip.
PSOE,172798,"31,31%"
Cs,115122,"20,86%"
PP,99203,"17,97%"
Podemos,77090,"13,97%"
VOX,70413,"12,76%"
PACMA,5440,"0,99%"
EB,2619,"0,47%"
RECORTES CERO,1405,"0,25%"
PUM+J,734,"0,13%"
FIA,650,"0,12%"
PYLN,611,"0,11%"
ELAK/PCTE,582,"0,11%"
PCPE,452,"0,08%"
