Candidaturas,Votos,Dip.
PSOE,415732,"37,13%"
Cs,186710,"16,68%"
Podemos,178737,"15,96%"
PP,162522,"14,52%"
VOX,136654,"12,21%"
PACMA,15007,"1,34%"
PACT,3560,"0,32%"
AxSI,3279,"0,29%"
RECORTES CERO,1570,"0,14%"
PUM+J,1515,"0,14%"
PCOE,1311,"0,12%"
ELAK/PCTE,829,"0,07%"
PCPA,796,"0,07%"
