Candidaturas,Votos,Dip.
PNV,235322,"34,37%"
PSOE,136037,"19,87%"
Podemos,121228,"17,71%"
EH Bildu,91612,"13,38%"
PP,49601,"7,24%"
Cs,21201,"3,10%"
VOX,15792,"2,31%"
PACMA,6150,"0,90%"
RECORTES CERO,1166,"0,17%"
PUM+J,836,"0,12%"
SOLIDARIA,627,"0,09%"
ELAK/PCTE,610,"0,09%"
