Candidaturas,Votos,Dip.
PP,31904,"31,40%"
PSOE,26318,"25,90%"
Cs,19028,"18,73%"
VOX,14586,"14,36%"
Podemos,7666,"7,55%"
PACMA,663,"0,65%"
PACT,345,"0,34%"
RECORTES CERO,168,"0,17%"
PUM+J,109,"0,11%"
FE de las JONS,94,"0,09%"
