Candidaturas,Votos,Dip.
PP,66717,"33,61%"
PSOE,65978,"33,24%"
Podemos,20127,"10,14%"
Cs,17654,"8,89%"
VOX,11386,"5,74%"
BNG,9599,"4,84%"
EN MAREA,2152,"1,08%"
PACMA,1529,"0,77%"
CxG,382,"0,19%"
PCTG,300,"0,15%"
RECORTES CERO,297,"0,15%"
C,69,"0,03%"
