Candidaturas,Votos,Dip.
PSOE,176695,"33,89%"
PP,96198,"18,45%"
Cs,90487,"17,36%"
VOX,73542,"14,11%"
Podemos,70941,"13,61%"
PACMA,5737,"1,10%"
JF,872,"0,17%"
AxSI,765,"0,15%"
PUM+J,605,"0,12%"
RECORTES CERO,596,"0,11%"
ELAK/PCTE,489,"0,09%"
PCPA,460,"0,09%"
IZAR,253,"0,05%"
