Candidaturas,Votos,Dip.
PSOE,25978,"28,18%"
PP,24806,"26,91%"
Cs,18397,"19,96%"
VOX,11429,"12,40%"
Podemos,8879,"9,63%"
PACMA,607,"0,66%"
centrados,458,"0,50%"
PACT,275,"0,30%"
RECORTES CERO,182,"0,20%"
PCOE,181,"0,20%"
PUM+J,129,"0,14%"
ELAK/PCTE,90,"0,10%"
