Candidaturas,Votos,Dip.
PSOE,189893,"24,75%"
PP,179885,"23,44%"
Cs,149946,"19,54%"
VOX,143010,"18,64%"
Podemos,79650,"10,38%"
PACMA,10640,"1,39%"
SOMOS REGION,5018,"0,65%"
RECORTES CERO,1327,"0,17%"
PCOE,1154,"0,15%"
IZQP,736,"0,10%"
PCPE,727,"0,09%"
DPL,539,"0,07%"
