Candidaturas,Votos,Dip.
PSOE,156876,"38,49%"
PP,83180,"20,41%"
Cs,75425,"18,51%"
VOX,44798,"10,99%"
Podemos,38094,"9,35%"
PACMA,2924,"0,72%"
C.Ex-C.R.Ex-P.R.Ex,913,"0,22%"
PACT,740,"0,18%"
RECORTES CERO,445,"0,11%"
PUM+J,436,"0,11%"
DP,308,"0,08%"
