Candidaturas,Votos,Dip.
PNV,40199,"22,74%"
PSOE,39595,"22,40%"
Podemos,31346,"17,73%"
EH Bildu,24687,"13,96%"
PP,24304,"13,75%"
Cs,7039,"3,98%"
VOX,5587,"3,16%"
PACMA,1863,"1,05%"
RECORTES CERO,533,"0,30%"
PUM+J,335,"0,19%"
ELAK/PCTE,233,"0,13%"
