Candidaturas,Votos,Dip.
PSOE,92679,"37,40%"
PP,57069,"23,03%"
Cs,42295,"17,07%"
VOX,25813,"10,42%"
Podemos,24128,"9,74%"
PACMA,1710,"0,69%"
C.Ex-C.R.Ex-P.R.Ex,1222,"0,49%"
PACT,738,"0,30%"
RECORTES CERO,400,"0,16%"
