Candidaturas,Votos,Dip.
PSOE,92075,"29,46%"
PP,63672,"20,38%"
Cs,50897,"16,29%"
Podemos,43466,"13,91%"
VOX,37483,"11,99%"
COMPROMÍS,16617,"5,32%"
PACMA,3367,"1,08%"
ERPV,852,"0,27%"
AVANT,579,"0,19%"
RECORTES CERO,341,"0,11%"
PCPE,327,"0,10%"
PUM+J,297,"0,10%"
FE de las JONS,222,"0,07%"
