Candidaturas,Votos,Dip.
PSOE,250965,"30,84%"
Cs,158756,"19,51%"
PP,144121,"17,71%"
Podemos,117827,"14,48%"
VOX,113842,"13,99%"
PACMA,15052,"1,85%"
RECORTES CERO,1738,"0,21%"
AxSI,1681,"0,21%"
PUM+J,1027,"0,13%"
PCPA,815,"0,10%"
ELAK/PCTE,624,"0,08%"
