Candidaturas,Votos,Dip.
PSOE,42397,"29,79%"
PP,28575,"20,08%"
Cs,26749,"18,79%"
VOX,23454,"16,48%"
Podemos,17453,"12,26%"
PACMA,1806,"1,27%"
RECORTES CERO,333,"0,23%"
PCOE,323,"0,23%"
PUM+J,251,"0,18%"
