Candidaturas	Votos	Dip.
ERC-SOBIRANISTES	113.472	27,24%
PSC	89.347	21,45%
Cs	52.154	12,52%
JxCAT-JUNTS	51.021	12,25%
ECP-GUANYEM	50.797	12,19%
PP	21.283	5,11%
VOX	20.032	4,81%
FRONT	8.173	1,96%
PACMA	6.169	1,48%
PCTC	469	0,11%
RECORTES	458	0,11%
PUM+J	277	0,07%
CNV	262	0,06%
PCPC	257	0,06%
IZQP	190	0,05%
